937	937	1.0
916	916	0.46
621	621	0.395
1056	1056	0.333
1056	916	0.227
608	608	0.159
1245	916	0.147
1031	1031	0.131
144	144	0.124
1313	1313	0.104
916	1056	0.086
1253	1253	0.082
607	607	0.079
515	515	0.064
227	916	0.061
1056	515	0.057
1245	1245	0.054
1015	1015	0.053
376	376	0.05
852	852	0.049
227	227	0.049
246	246	0.049
1292	916	0.049
1252	1252	0.047
556	556	0.044
333	333	0.04
1245	1056	0.036
1056	852	0.036
937	621	0.03
916	1245	0.029
333	608	0.029
916	621	0.029
1056	621	0.029
74	74	0.028
1190	1190	0.025
621	916	0.024
753	753	0.024
919	919	0.023
1289	1289	0.022
227	1056	0.022
281	281	0.022
1190	916	0.022
1056	376	0.021
1257	1257	0.02
77	77	0.02
1015	916	0.02
1015	621	0.019
1056	227	0.019
621	937	0.019
1257	916	0.018
826	826	0.018
904	904	0.018
1056	608	0.018
916	227	0.018
156	156	0.018
1292	1292	0.017
1223	916	0.016
832	832	0.016
916	1190	0.016
64	1031	0.015
15	916	0.013
144	621	0.013
1056	144	0.013
919	916	0.013
276	276	0.013
621	1056	0.013
832	916	0.012
1292	1056	0.012
1056	1015	0.012
515	376	0.012
916	1292	0.012
916	608	0.012
372	372	0.012
1056	1190	0.011
144	376	0.011
1015	1056	0.011
916	1031	0.011
211	1252	0.011
406	406	0.011
916	1015	0.011
1289	1031	0.011
916	753	0.01
852	916	0.01
281	916	0.01
77	916	0.01
832	1257	0.01
1056	607	0.01
916	376	0.01
153	1252	0.01
1260	1056	0.01
65	65	0.01
1299	1299	0.01
1056	77	0.01
74	515	0.01
275	916	0.01
153	1015	0.01
1056	1031	0.01
883	1031	0.01
916	852	0.009
1056	937	0.009
160	160	0.009
1229	1229	0.009
1056	753	0.009
376	621	0.009
608	937	0.009
937	608	0.009
310	1031	0.009
621	1252	0.008
246	621	0.008
621	608	0.008
144	515	0.008
515	1056	0.008
772	772	0.008
1056	1313	0.008
376	916	0.008
852	621	0.008
607	916	0.008
758	916	0.007
227	852	0.007
1296	916	0.007
608	333	0.007
5	5	0.007
1296	1056	0.007
1296	1296	0.007
772	916	0.007
772	1056	0.007
1260	916	0.007
1260	1260	0.007
1056	1245	0.007
144	1056	0.007
1203	1056	0.007
955	955	0.007
227	621	0.007
1176	1176	0.007
1031	916	0.007
753	916	0.007
1257	621	0.007
515	607	0.007
621	1015	0.007
852	1056	0.007
981	981	0.007
621	753	0.006
916	1257	0.006
795	1031	0.006
852	376	0.006
621	376	0.006
1245	621	0.006
281	1056	0.006
1076	1076	0.006
776	937	0.006
1257	753	0.006
650	650	0.006
144	608	0.006
916	515	0.006
144	607	0.006
959	916	0.006
937	916	0.006
114	1252	0.006
1240	916	0.006
156	515	0.006
1100	1100	0.006
318	318	0.006
753	621	0.006
1056	1292	0.006
916	607	0.006
556	621	0.006
916	919	0.005
381	1056	0.005
621	246	0.005
916	77	0.005
875	1031	0.005
909	909	0.005
832	227	0.005
1253	621	0.005
1257	1056	0.005
1257	832	0.005
481	481	0.005
621	1031	0.005
621	144	0.005
518	518	0.005
607	376	0.005
937	1056	0.005
153	153	0.005
607	1056	0.005
1056	1296	0.005
1190	1056	0.005
780	1056	0.005
607	608	0.005
1245	1190	0.005
1245	227	0.005
621	607	0.005
77	1056	0.005
515	916	0.005
875	875	0.005
607	515	0.005
281	852	0.004
144	937	0.004
144	246	0.004
916	937	0.004
1031	1056	0.004
1101	1101	0.004
937	227	0.004
621	1253	0.004
184	916	0.004
849	621	0.004
1031	621	0.004
1245	852	0.004
77	621	0.004
1056	281	0.004
832	1056	0.004
454	454	0.004
156	826	0.004
1223	1223	0.004
753	1056	0.004
459	916	0.004
916	1223	0.004
281	515	0.004
515	621	0.004
1223	1056	0.004
1031	1299	0.004
515	144	0.004
883	883	0.004
320	1031	0.004
1056	826	0.004
74	826	0.004
1292	621	0.004
937	246	0.004
621	852	0.004
1056	1260	0.004
849	916	0.004
621	515	0.004
607	77	0.004
1245	608	0.004
937	852	0.004
773	773	0.004
852	227	0.004
608	227	0.004
916	15	0.004
144	916	0.004
1056	246	0.004
153	621	0.004
160	916	0.004
582	1031	0.004
1203	916	0.004
608	916	0.004
1101	318	0.004
1056	1257	0.004
608	621	0.004
916	281	0.004
276	621	0.004
74	156	0.004
15	15	0.004
985	1031	0.004
1203	1203	0.004
227	608	0.004
607	621	0.004
408	1031	0.003
459	459	0.003
792	792	0.003
515	608	0.003
184	1252	0.003
275	275	0.003
15	1056	0.003
374	916	0.003
1245	515	0.003
1245	753	0.003
1289	481	0.003
798	981	0.003
1245	1292	0.003
1056	772	0.003
915	1056	0.003
1015	153	0.003
156	607	0.003
916	832	0.003
5	916	0.003
470	470	0.003
276	916	0.003
1056	156	0.003
613	916	0.003
855	1031	0.003
246	937	0.003
333	826	0.003
281	227	0.003
1313	937	0.003
916	1252	0.003
227	1245	0.003
608	1056	0.003
376	826	0.003
1146	621	0.003
1056	1253	0.003
494	494	0.003
621	227	0.003
144	1313	0.003
376	608	0.003
74	607	0.003
916	275	0.003
1299	1031	0.003
1257	852	0.003
1015	852	0.003
320	320	0.003
333	916	0.003
144	156	0.003
1245	1015	0.003
566	1031	0.003
459	1056	0.003
64	64	0.003
227	937	0.003
333	621	0.003
376	852	0.003
310	310	0.003
780	916	0.003
1245	1031	0.003
862	916	0.003
144	77	0.003
400	400	0.003
184	184	0.003
955	227	0.003
608	607	0.003
1296	515	0.003
1015	608	0.003
1146	1146	0.003
376	1056	0.003
275	1056	0.003
906	906	0.003
376	515	0.003
74	333	0.003
959	959	0.002
883	916	0.002
826	621	0.002
1292	227	0.002
682	1031	0.002
276	1056	0.002
376	144	0.002
826	376	0.002
1292	1245	0.002
477	477	0.002
247	247	0.002
832	621	0.002
518	227	0.002
621	1257	0.002
1245	376	0.002
1092	1092	0.002
144	826	0.002
254	1031	0.002
77	608	0.002
937	1313	0.002
608	515	0.002
333	227	0.002
74	608	0.002
832	753	0.002
621	77	0.002
553	1252	0.002
1245	1257	0.002
582	582	0.002
1030	1031	0.002
852	937	0.002
780	780	0.002
955	1056	0.002
1190	607	0.002
276	852	0.002
1260	1245	0.002
227	1015	0.002
1289	1299	0.002
381	916	0.002
227	376	0.002
515	74	0.002
666	666	0.002
77	144	0.002
904	1100	0.002
32	1004	0.002
662	662	0.002
852	826	0.002
1056	74	0.002
915	916	0.002
937	144	0.002
227	1190	0.002
227	515	0.002
144	1031	0.002
515	77	0.002
916	1313	0.002
459	621	0.002
1203	515	0.002
915	915	0.002
1313	1056	0.002
376	607	0.002
32	32	0.002
955	852	0.002
758	621	0.002
114	114	0.002
916	959	0.002
582	1299	0.002
862	1257	0.002
832	852	0.002
227	1031	0.002
621	1313	0.002
333	376	0.002
916	1253	0.002
77	227	0.002
852	753	0.002
1056	276	0.002
381	381	0.002
955	515	0.002
246	916	0.002
