937	937	31493
916	916	14492
621	621	12455
1056	1056	10496
1056	916	7148
608	608	5010
1245	916	4642
1031	1031	4118
144	144	3903
1313	1313	3278
916	1056	2696
1253	1253	2591
607	607	2489
515	515	2026
227	916	1912
1056	515	1797
1245	1245	1693
1015	1015	1658
376	376	1559
852	852	1545
227	227	1544
246	246	1536
1292	916	1530
1252	1252	1472
556	556	1381
333	333	1244
1245	1056	1139
1056	852	1139
937	621	936
916	1245	926
333	608	916
916	621	909
1056	621	908
74	74	885
1190	1190	783
621	916	765
753	753	757
919	919	716
1289	1289	706
227	1056	706
281	281	696
1190	916	693
1056	376	662
1257	1257	640
77	77	628
1015	916	628
1015	621	602
1056	227	593
621	937	591
1257	916	581
826	826	578
904	904	573
1056	608	570
916	227	557
156	156	552
1292	1292	527
1223	916	510
832	832	494
916	1190	492
64	1031	461
15	916	405
144	621	404
1056	144	401
919	916	399
276	276	397
621	1056	396
832	916	390
1292	1056	389
1056	1015	387
515	376	387
916	1292	385
916	608	381
372	372	365
1056	1190	359
144	376	359
1015	1056	358
916	1031	353
211	1252	347
406	406	342
916	1015	341
1289	1031	341
916	753	324
852	916	321
281	916	321
77	916	318
832	1257	316
1056	607	315
916	376	314
153	1252	314
1260	1056	313
65	65	312
1299	1299	310
1056	77	308
74	515	307
275	916	307
153	1015	302
1056	1031	301
883	1031	300
916	852	297
1056	937	297
160	160	295
1229	1229	289
1056	753	284
376	621	284
608	937	276
937	608	274
310	1031	273
621	1252	262
246	621	259
621	608	252
144	515	252
515	1056	250
772	772	248
1056	1313	246
376	916	238
852	621	237
607	916	237
758	916	232
227	852	229
1296	916	227
608	333	227
5	5	227
1296	1056	226
1296	1296	225
772	916	223
772	1056	222
1260	916	220
1260	1260	220
1056	1245	219
144	1056	216
1203	1056	215
955	955	215
227	621	215
1176	1176	215
1031	916	214
753	916	214
1257	621	213
515	607	213
621	1015	209
852	1056	206
981	981	206
621	753	202
916	1257	201
795	1031	198
852	376	197
621	376	196
1245	621	195
281	1056	193
1076	1076	188
776	937	188
1257	753	188
650	650	187
144	608	187
916	515	184
144	607	184
959	916	183
937	916	182
114	1252	182
1240	916	181
156	515	180
1100	1100	177
318	318	177
753	621	176
1056	1292	175
916	607	174
556	621	174
916	919	173
381	1056	170
621	246	170
916	77	169
875	1031	168
909	909	168
832	227	168
1253	621	167
1257	1056	164
1257	832	164
481	481	163
621	1031	163
621	144	162
518	518	161
607	376	160
937	1056	159
153	153	159
607	1056	157
1056	1296	155
1190	1056	154
780	1056	151
607	608	151
1245	1190	150
1245	227	150
621	607	150
77	1056	146
515	916	144
875	875	142
607	515	142
281	852	140
144	937	139
144	246	138
916	937	137
1031	1056	137
1101	1101	135
937	227	134
621	1253	134
184	916	134
849	621	133
1031	621	131
1245	852	129
77	621	129
1056	281	129
832	1056	129
454	454	129
156	826	129
1223	1223	129
753	1056	129
459	916	128
916	1223	127
281	515	127
515	621	127
1223	1056	126
1031	1299	125
515	144	124
883	883	123
320	1031	123
1056	826	122
74	826	122
1292	621	121
937	246	121
621	852	121
1056	1260	120
849	916	120
621	515	120
607	77	120
1245	608	119
937	852	119
773	773	119
852	227	118
608	227	118
916	15	117
144	916	117
1056	246	116
153	621	116
160	916	115
582	1031	115
1203	916	115
608	916	114
1101	318	114
1056	1257	113
608	621	113
916	281	112
276	621	112
74	156	112
15	15	111
985	1031	111
1203	1203	111
227	608	111
